Player|Match|Inns|Runs|AVG|SR|4s|6s
MUSFIQUR_23|1|0|0|N/A|0.00|0|0
J.N NIROB_23|1|0|0|N/A|0.00|0|0
APURBO_24|1|0|0|N/A|0.00|0|0
LIKHON_24|1|0|0|N/A|0.00|0|0
MD.SAMIM_24|1|0|0|N/A|0.00|0|0
SHUVO_24|1|1|0|N/A|0.00|0|0
SAIKAT_24|1|0|0|N/A|0.00|0|0
XIX.HASHIBUR_23|1|0|0|N/A|0.00|0|0
FS.RIDOY_23|1|0|0|N/A|0.00|0|0
MR HASAN_24|1|0|0|N/A|0.00|0|0
ROBIN_24|1|0|0|N/A|0.00|0|0
TOGOR_24|1|0|0|N/A|0.00|0|0
TASHRIK_24|1|0|0|N/A|0.00|0|0
RIYAD_23|1|0|0|N/A|0.00|0|0
R RIMON_24|1|0|0|N/A|0.00|0|0
NAIM_24|1|1|28|N/A|466.67|4|2
SHAKIB_24|1|0|0|N/A|0.00|0|0
SS:SIJAR_24|1|0|0|N/A|0.00|0|0
MA MARUF_23|1|0|0|N/A|0.00|0|0
SHAHED_23|1|1|0|N/A|0.00|0|0
JOBAER_23|1|0|0|N/A|0.00|0|0
RIPON_24|1|0|0|N/A|0.00|0|0
SAIKOT. YT_23|1|0|0|N/A|0.00|0|0
M MARUF_23|1|1|24|N/A|400.00|6|0
JIHAD_24|1|0|0|N/A|0.00|0|0
RABBI_24|1|0|0|N/A|0.00|0|0
SAROAR_24|1|0|0|N/A|0.00|0|0
TANVIR_21|1|0|0|N/A|0.00|0|0
SAMAUN_21|1|0|0|N/A|0.00|0|0
RAKIB_21|1|0|0|N/A|0.00|0|0
LAM_21|1|0|0|N/A|0.00|0|0
JAMIUL_21|1|0|0|N/A|0.00|0|0
TAREAK DA_21|1|0|0|N/A|0.00|0|0
RAHUL_21|1|1|1|N/A|100.00|0|0
RIFAT_20|1|0|0|N/A|0.00|0|0
SH_20|1|0|0|N/A|0.00|0|0
S.R SONY JR_20|1|0|0|N/A|0.00|0|0
FARHAN_20|1|0|0|N/A|0.00|0|0
FALHA_21|1|0|0|N/A|0.00|0|0
RAKIB_20|1|1|1|N/A|100.00|0|0
MUNNA_21|1|1|8|N/A|400.00|2|0
RONY_20|1|1|4|N/A|400.00|1|0
SS SHAJID_21|1|0|0|N/A|0.00|0|0
NAIM_21|1|0|0|N/A|0.00|0|0
VP.SHAKIB SS_20|1|0|0|N/A|0.00|0|0
JOY_21|1|0|0|N/A|0.00|0|0
JIHAD_21|1|0|0|N/A|0.00|0|0
SHAKIL JR_20|1|0|0|N/A|0.00|0|0
MOMIN_21|1|0|0|N/A|0.00|0|0
JAKIR_21|1|0|0|N/A|0.00|0|0
NADIM_20|1|1|12|12.0|300.00|3|0
SHADHEEN_21|1|0|0|N/A|0.00|0|0
ALI_20|1|0|0|N/A|0.00|0|0
SOHAG_21|1|0|0|N/A|0.00|0|0
HERO_21|1|1|7|7.0|233.33|0|1
RIFAT_21|1|0|0|N/A|0.00|0|0
SHAMIM_20|1|0|0|N/A|0.00|0|0
PIASH_20|1|0|0|N/A|0.00|0|0
SELIM_21|1|0|0|N/A|0.00|0|0
