ASHIK-1_19,BATSMAN
SHIHAB_19,ALL ROUNDER
NILOY_19,BATSMAN
NADIM_19,BATSMAN
SHIMUL_19,BATSMAN
NAYEM_19,BATSMAN
SANTO_19,BATSMAN
PRANTO_19,BATSMAN
SM SAKIB_19,ALL ROUNDER
EMON-1_19,ALL ROUNDER
ASHIK_19,ALL ROUNDER
JOBAER_19,ALL ROUNDER
ZILHAZ_19,ALL ROUNDER
NAFIUL_19,bench,PLAYER
KABIR_19,bench,PLAYER
PRODIP_19,bench,PLAYER
TOUFIK_19,bench,PLAYER
SHADIN_19,bench,PLAYER
RAJU_19,bench,PLAYER
TUSHAR_19,bench,PLAYER
RS.RIFAT_19,bench,PLAYER
NUR_19,bench,PLAYER
RIFAT_19,bench,PLAYER
SM SAKIB_19,bench,PLAYER
JAMIUL_19,bench,PLAYER
SAGOR_19,bench,PLAYER
EMON_19,bench,PLAYER
JHIAN_19,bench,PLAYER
SOUROV_19,bench,PLAYER
T.HASAN_19,bench,PLAYER
ONLY RAJU_19,bench,PLAYER
TAFIQUL_19,bench,PLAYER
NISHAD_19,stf,COACH
